vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
2117,5,The Void  -  Digital,Where deleted data goes. Fragments of destroyed files drift like digital snow.,2114,,2118,,2115,,,,,,Fragments of corrupted data swirl like frozen ash in the cold void.,A faint hum of infectious code drifts softly from the north.,Whispers of forgotten knowledge float quietly to the northeast.,"The air feels thin, as if the digital frost seeps into everything."
2118,5,The Void  -  Core,The deepest layer. The original code of the network is visible here. The foundation of everything.,2115,,2119,2117,2116,2114,,,,,Strings of original code pulse faintly beneath the surface here.,"A distant, uneasy crackle of viral corruption echoes from the northwest.",Soft murmurs of vast knowledge ripple gently from the north.,"Cold shadows hide whispers of a lost, angry presence to the northeast."
2119,5,The Backdoor,A hidden exit point. It leads somewhere that shouldn't exist. A developer's secret.,2116,,,2118,,2115,,,,,An unnatural silence cloaks this hidden passageway.,Faint echoes of a restless program drift down from the north.,The foundation of the network hums quietly to the west.,Wisps of ancient data trail softly from the northwest.
3001,4,Penthouse  -  Balcony,Rain hammers the glass railing. The city spreads below like a circuit board. Someone left a cigarette burning in the ashtray.,,3004,3002,4,,,3005,3003,,,"Rain hammers the glass railing, blurring the circuit board city below.","A cigarette smolders quietly in the ashtray, smoke curling in the damp air.",The cleaner rain from below carries faint sounds of luxury cars and doormen.,Street lamps and saxophone music drift through the eastern archway's rain.
3002,4,Penthouse  -  Interior,"White carpet, modern art, a bar stocked with top-shelf bourbon. The kind of place where deals are made.",,3005,,3001,,,3006,3004,,,The scent of top-shelf bourbon melds with the chill from the rainy balcony.,"Soft light reflects off modern art, shadows shifting with the storm outside.","Through the glass, the cityscape fades beneath steady rain and distant umbrellas.","Faint murmurs rise from the grand hotel just south, calm and rule-bound."
3003,4,Uptown  -  Gallery Row,Art galleries with pretentious names. The paintings cost more than most people make in a year.,,3008,3004,,3001,,3009,3007,,,"Glassy paintings loom silently, their colors muted by the wet night air.","A light burns steadily in the editor's window to the south, always alert.","Luxury cars hum quietly eastward, the rain softening their polished shapes.","From the balcony northeast, rain drums like a persistent heartbeat on glass."
3004,4,Uptown  -  Main Street,"Clean sidewalks, doormen, luxury cars. The rain even seems cleaner up here.",3001,3009,3005,3003,3002,,3010,3008,,,"Sidewalks gleam under clean rain, luxury cars parked with quiet pride.",The sharp scent of wet pavement blends with distant hotel calm to the east.,A faint glow from the penthouse balcony above flickers through the rain.,Art galleries to the west hold their silence beneath dripping eaves.
3005,4,The Continental Hotel,A grand hotel with a strict no-violence policy. Everyone knows the rules. Everyone follows them.,3002,3010,3006,3004,,3001,3011,3009,,,The grand hotel hums with disciplined calm beneath sleek penthouse lights.,Gas lamps from the manicured park to the east cast soft halos in the rain.,Distant city sounds mix with warm lobby murmurs and strict tranquility.,"From the penthouse balcony northwest, rain cascades like falling glass."
3006,4,Uptown  -  Park,A manicured park with gas lamps. Couples walk under umbrellas. It almost feels safe.,,3011,,3005,,3002,,3010,,,The soft glow of gas lamps filters through raindrops on umbrellas nearby.,"A faint hum rises from the hotel just east, calm amidst the storm.","Underfoot, wet leaves stick to manicured paths, cool and slick with rain.","Couples' whispered steps mix with distant, steady rain from the penthouse."
3007,4,Midtown  -  West,Office buildings and parking garages. The 9-to-5 crowd has gone home. Only the cleaners remain.,,3013,3008,,3003,,3014,3012,,,Empty office windows reflect cold rain and amber streetlight glimmers.,"A saxophone cries faintly from the jazz club to the south, smoky and low.","Rain drips steadily from fire escapes, pooling in cracked pavement below.",A lone trash can wobbles as a cat stirs through discarded scraps nearby.
3008,4,Midtown  -  Newspaper Row,The offices of the Daily Chronicle. A light burns in the editor's window. Always a story breaking.,3003,3014,3009,3007,3004,,3015,3013,,,"The editor's light burns late, casting long shadows on rain-slicked streets.","Glassy gallery windows to the north hold silent, expensive secrets.",The distant murmur of busy crossroads drifts up from the southeast.,Smoky notes from the jazz club southwest blend with night rain.
3009,4,Midtown  -  Central,"The business district. Banks, law firms, and the kind of restaurants that require reservations.",3004,3015,3010,3008,3005,3003,3016,3014,,,"Polished stone facades glisten under clean rain, reflecting quiet ambition.","The courthouse looms southward, its blind justice cold beneath broken scales.",The buzz of city life seeps in from the busy intersection to the south.,Faint aromas of expensive dinners drift from reserved tables nearby.
3010,4,Midtown  -  Courthouse,A neoclassical building with blind justice on top. The scales have been broken for years.,3005,3016,3011,3009,3006,3004,3017,3015,,,"The courthouse stands heavy, its neoclassical facade slick with rain.",Gas lamps glow dimly just northeast in the manicured park's calm refuge.,The distant flicker of a neon sign pulses softly down the eastern street.,"The grand hotel to the north hums quietly, rules held like a shield."
3011,4,Midtown  -  Police Station,A squat brick building. Cops come and go. The good ones look tired. The bad ones look comfortable.,3006,3017,,3010,,3005,3018,3016,,,Brick walls absorb the steady drip of rain beneath yawning street lamps.,The manicured park to the north holds couples in umbrella shadows.,Sirens wail faintly beyond the cluttered desks inside the PI office southeast.,The grand hotel northwest radiates an aura of composed discipline.
3012,4,Rain-Soaked Alley  -  West,A narrow passage between buildings. Rain cascades from fire escapes above. A cat knocks over a trash can.,,3019,3013,,3007,,3020,,,,"Rain cascades in sheets from fire escapes, drumming on rusted metal below.",A toppled trash can shudders as a cat slips silently through the wet alley.,"Dim light spills from the jazz club to the east, smoke swirling with rain.",The narrow passageway echoes with distant footsteps and muffled city sounds.
3013,4,Jazz Club  -  The Blue Note,"Smoky interior, dim lights, a saxophone crying in the corner. The bourbon is cheap and the music is priceless.",3007,3020,3014,3012,3008,,3021,3019,,,A saxophone cries softly beneath the smoky haze and dim lights.,Rain cascades from fire escapes above the narrow alley to the west.,Paper lanterns sway in the rain near the red arch to the southeast.,A distant light burns late in the editor's office to the northeast.
3014,4,Downtown  -  Main Drag,The line between respectable and dangerous. Pawn shops next to law offices. Everyone watches everyone.,3008,3021,3015,3013,3009,3007,3022,3020,,,Pawn shop windows reflect the watchful eyes of passersby all around.,"Paper lanterns hang nearby, carrying scents of dim sum and incense.",The muffled cry of a saxophone drifts in from the smoky jazz club west.,Rain clatters on office building roofs to the northwest and north.
3015,4,Downtown  -  Intersection,A busy crossroads. Taxis splash through puddles. A newsboy hawks papers: 'MURDER ON THE WATERFRONT!',3009,3022,3016,3014,3010,3008,3023,3021,,,Taxis splash through puddles beneath flickering neon and streetlights.,Incense smoke curls faintly from the temple to the southeast.,A newsboy's shout cuts through the damp night air at the intersection.,The courthouse looms cold and imposing to the northeast.
3016,4,Downtown  -  East Side,"Cheaper rent, harder people. A laundromat that's definitely a front. A diner that never closes.",3010,3023,3017,3015,3011,3009,3024,3022,,,A flickering neon sign buzzes erratically above the PI office nearby.,Fog rolls thick from the waterfront warehouses to the southeast.,The scent of incense drifts up softly from the temple just south.,The courthouse casts long shadows to the northwest in the night.
3017,4,PI Office  -  Building,"A five-story walkup with a flickering neon sign: 'INVESTIGATIONS.' Third floor, door on the left.",3011,3024,3018,3016,,3010,,3023,,,"The neon 'INVESTIGATIONS' sign flickers, struggling against the dark.",Foghorns echo distantly across the fog-shrouded docks to the south.,Incense smoke drifts faintly from the temple to the southwest.,The police station's tired light glows softly to the north.
3018,4,PI Office  -  Interior,"A cluttered desk, a bottle in the drawer, a gun in the other drawer. The phone never rings with good news.",,,,3017,,3011,,3024,,,Quiet hum of the city leaks softly through cracked windows nearby.,Foghorns bellow in the distance past fog-cloaked waterfront warehouses.,The police station's tired lights flicker faintly to the northwest.,
3019,4,Back Alley  -  Dead End,The alley ends at a brick wall. Graffiti reads: 'SNITCHES GET STITCHES.' A dumpster provides cover.,3012,3025,3020,,3013,,3026,,,,Graffiti on a brick wall warns in harsh letters: SNITCHES GET STITCHES.,Rain drips steadily from fire escapes above the narrow alley to the north.,Fishing boats creak and moan quietly at the rotten pier to the south.,The muted cry of a saxophone floats in from the jazz club nearby.
3020,4,The Speakeasy,"Behind a bookshelf in a barbershop. The password changes weekly. The gin never does. A section of the wall has been punched clean through  -  not broken, but displaced, as if something passed through solid brick without stopping. The edges of the hole are perfectly smooth and warm to the touch.",3013,3026,"{'target_vnum': 3099, 'locked': True, 'key_vnum': 9811, 'description': 'A locked door blocks the way.'}",3019,3014,3012,3027,3025,,,The scent of cheap gin lingers where shelves once hid whispered secrets.,Rain drums softly on the narrow alley and the nearby brick walls.,Longshoremen's smoke curls faintly from docks to the southeast.,A cat's clatter echoes off the trash bins in the rain-soaked alley.
